CaseID,ActivityID,CompleteTimestamp
8018,135242,2016-04-13 09:44:16
8018,549620,2016-04-13 09:44:17
8018,683813,2016-04-13 09:45:58
8018,635089,2016-04-13 09:45:58
8018,077929,2016-04-13 09:45:59
8018,308411,2016-04-13 09:45:59
8018,355928,2016-04-13 09:45:59
8018,375088,2016-04-13 09:45:59
8018,056150,2016-04-13 09:45:59
8018,941972,2016-04-13 09:45:59
8019,474178,2016-04-13 09:45:30
8019,169704,2016-04-20 09:45:31
8019,225828,2016-05-31 15:34:02
8019,479982,2016-05-31 15:34:02
8019,915472,2016-05-31 15:34:02
8019,411057,2016-05-31 15:34:02
8021,474178,2016-04-13 10:20:22
8021,479982,2016-04-15 17:25:52
8021,915472,2016-04-15 17:25:52
8021,225828,2016-04-15 17:25:53
8021,411057,2016-04-15 17:25:53
8022,135242,2016-04-13 10:20:47
8022,549620,2016-04-13 10:20:47
8022,683813,2016-04-13 10:21:20
8022,077929,2016-04-13 10:21:20
8022,635089,2016-04-13 10:21:20
8022,056150,2016-04-13 10:21:20
8022,308411,2016-04-13 10:21:20
8022,375088,2016-04-13 10:21:20
8022,941972,2016-04-13 10:21:20
8022,355928,2016-04-13 10:21:20
8023,474178,2016-04-13 10:23:42
8023,169704,2016-04-20 10:23:42
8023,915472,2016-05-31 15:33:46
8023,479982,2016-05-31 15:33:46
8023,411057,2016-05-31 15:33:47
8023,225828,2016-05-31 15:33:47
8024,474178,2016-04-13 10:39:16
8024,479982,2016-04-13 10:41:38
8024,629038,2016-04-13 10:41:38
8024,603158,2016-04-13 10:41:38
8024,166921,2016-04-13 10:41:38
8024,674344,2016-04-13 10:41:38
8024,915472,2016-04-13 10:41:38
8024,411057,2016-04-13 10:41:39
8026,474178,2016-04-13 10:54:08
8026,915472,2016-04-17 19:33:03
8026,411057,2016-04-17 19:33:04
8026,225828,2016-04-17 19:33:04
8026,479982,2016-04-17 19:33:04
8027,474178,2016-04-13 11:38:17
8027,915472,2016-04-13 12:38:34
8027,603158,2016-04-13 12:38:35
8027,479982,2016-04-13 12:38:35
8027,629038,2016-04-13 12:38:35
8027,674344,2016-04-13 12:38:36
8027,166921,2016-04-13 12:38:36
8027,411057,2016-04-13 12:38:36
8030,474178,2016-04-13 11:50:42
8030,915472,2016-04-13 11:53:15
8031,474178,2016-04-13 11:51:42
8031,915472,2016-04-13 12:38:56
8031,479982,2016-04-13 12:38:56
8031,411057,2016-04-13 12:38:58
8031,225828,2016-04-13 12:38:58
8032,355928,2016-04-13 11:53:12
8032,135242,2016-04-13 11:53:12
8032,308411,2016-04-13 11:53:12
8032,941972,2016-04-13 11:53:12
8032,077929,2016-04-13 11:53:12
8032,375088,2016-04-13 11:53:12
9001,474178,2016-04-13 16:46:47
9001,915472,2016-04-13 18:06:47
9002,026979,2016-04-13 16:48:56
9002,762578,2016-04-13 16:48:56
9002,972752,2016-04-13 16:48:56
9003,308411,2016-04-13 16:49:18
9003,077929,2016-04-13 16:49:18
9003,135242,2016-04-13 16:49:18
9003,941972,2016-04-13 16:49:18
9003,375088,2016-04-13 16:49:18
9003,355928,2016-04-13 16:49:18
9004,474178,2016-04-13 16:50:28
9004,411057,2016-04-20 09:57:39
9004,915472,2016-04-20 09:57:39
9004,225828,2016-04-20 09:57:39
9004,479982,2016-04-20 09:57:39
9005,474178,2016-04-13 17:12:49
9005,915472,2016-04-13 18:06:47
9006,308411,2016-04-13 17:16:53
9006,375088,2016-04-13 17:16:53
9006,077929,2016-04-13 17:16:53
9006,355928,2016-04-13 17:16:53
9006,135242,2016-04-13 17:16:53
9006,941972,2016-04-13 17:16:53
9007,474178,2016-04-13 17:17:16
9007,169704,2016-04-20 17:17:17
9007,915472,2016-05-23 12:40:05
9008,026979,2016-04-13 17:18:13
9008,762578,2016-04-13 17:18:14
9008,972752,2016-04-13 17:18:14
10001,474178,2016-04-14 14:50:28
10001,915472,2016-04-17 19:36:17
10001,479982,2016-04-17 19:36:17
10001,411057,2016-04-17 19:36:18
10001,225828,2016-04-17 19:36:18
10002,474178,2016-04-14 14:54:37
10002,479982,2016-04-17 19:35:10
10002,629038,2016-04-17 19:35:10
10002,915472,2016-04-17 19:35:10
10002,603158,2016-04-17 19:35:10
10002,674344,2016-04-17 19:35:11
10002,411057,2016-04-17 19:35:11
10002,166921,2016-04-17 19:35:11
10003,474178,2016-04-14 14:55:40
10003,915472,2016-04-14 15:43:35
10004,474178,2016-04-14 15:09:38
10004,915472,2016-04-20 09:51:20
10005,026979,2016-04-14 15:10:51
10005,762578,2016-04-14 15:10:52
10005,972752,2016-04-14 15:10:52
10006,135242,2016-04-14 15:11:53
10006,077929,2016-04-14 15:11:54
10006,941972,2016-04-14 15:11:54
10006,355928,2016-04-14 15:11:54
10006,308411,2016-04-14 15:11:54
10006,375088,2016-04-14 15:11:54
10007,474178,2016-04-14 15:13:21
10007,915472,2016-04-20 09:57:09
10007,479982,2016-04-20 09:57:09
10007,225828,2016-04-20 09:57:10
10007,411057,2016-04-20 09:57:10
10008,941972,2016-04-14 15:43:34
10008,077929,2016-04-14 15:43:34
10008,308411,2016-04-14 15:43:34
10008,375088,2016-04-14 15:43:34
10008,355928,2016-04-14 15:43:34
10008,135242,2016-04-14 15:43:34
10009,474178,2016-04-14 17:02:09
10009,915472,2016-04-14 17:02:09
10009,169704,2016-04-21 17:02:11
11001,474178,2016-04-15 16:00:16
11001,915472,2016-04-15 17:24:38
11001,603158,2016-04-15 17:24:39
11001,629038,2016-04-15 17:24:39
11001,411057,2016-04-15 17:24:39
11001,674344,2016-04-15 17:24:39
11001,479982,2016-04-15 17:24:39
11001,166921,2016-04-15 17:24:39
11002,762578,2016-04-15 16:00:44
11002,026979,2016-04-15 16:00:44
11002,972752,2016-04-15 16:00:46
11003,972752,2016-04-15 16:01:14
11003,762578,2016-04-15 16:01:14
11003,026979,2016-04-15 16:01:14
11004,474178,2016-04-15 16:01:40
11004,915472,2016-04-15 17:13:25
11005,941972,2016-04-15 17:13:23
11005,375088,2016-04-15 17:13:23
11005,308411,2016-04-15 17:13:23
11005,135242,2016-04-15 17:13:23
11005,355928,2016-04-15 17:13:23
11005,077929,2016-04-15 17:13:23
11006,474178,2016-04-15 17:14:38
11006,225828,2016-04-15 17:22:56
11006,915472,2016-04-15 17:22:56
11006,479982,2016-04-15 17:22:56
11006,411057,2016-04-15 17:22:56
11007,474178,2016-04-15 17:27:03
11007,169704,2016-04-22 17:27:05
11007,915472,2016-05-23 12:40:15
11008,474178,2016-04-15 17:31:44
11008,479982,2016-04-15 17:41:08
11008,411057,2016-04-15 17:41:08
11008,166921,2016-04-15 17:41:08
11008,629038,2016-04-15 17:41:08
11008,674344,2016-04-15 17:41:08
11008,915472,2016-04-15 17:41:08
11008,603158,2016-04-15 17:41:08
11009,474178,2016-04-15 18:48:11
11009,169704,2016-04-22 18:48:12
11009,915472,2016-04-25 15:31:29
11009,629038,2016-04-25 15:31:29
11009,479982,2016-04-25 15:31:29
11009,603158,2016-04-25 15:31:29
11009,166921,2016-04-25 15:31:30
11009,411057,2016-04-25 15:31:30
11009,674344,2016-04-25 15:31:30
11010,762578,2016-04-15 18:48:44
