CaseID,ActivityID,CompleteTimestamp      
6003,3573644,2016-04-08 17:09:19
6005,1225828,2016-04-08 17:12:47
6005,9479982,2016-04-08 17:12:47
6005,2915472,2016-04-08 17:12:47
6005,1411057,2016-04-08 17:12:47
6005,0474178,2016-04-08 17:09:49
6006,4549620,2016-04-08 17:13:54
6006,4375088,2016-04-08 17:16:21
6006,6077929,2016-04-08 17:16:21
6006,2056150,2016-04-08 17:16:21
6006,5308411,2016-04-08 17:16:21
6006,6635089,2016-04-08 17:16:21
6006,2355928,2016-04-08 17:16:21
6006,4135242,2016-04-08 17:13:53
6006,4941972,2016-04-08 17:16:21
6006,8683813,2016-04-08 17:16:21
7001,2629038,2016-04-12 19:27:22
7001,9479982,2016-04-12 19:27:22
7001,2915472,2016-04-12 19:27:22
7001,5603158,2016-04-12 19:27:22
7001,1411057,2016-04-12 19:27:22
7001,0474178,2016-04-12 18:34:03
7001,0674344,2016-04-12 19:27:22
7001,2166921,2016-04-12 19:27:22
7002,1225828,2016-04-12 18:43:57
7002,9479982,2016-04-12 18:43:56
7002,2915472,2016-04-12 18:43:56
7002,1411057,2016-04-12 18:43:57
7002,0474178,2016-04-12 18:38:37
7003,1225828,2016-04-12 18:50:03
7003,9479982,2016-04-12 18:50:03
7003,2915472,2016-04-12 18:50:03
7003,1411057,2016-04-12 18:50:03
7003,0474178,2016-04-12 18:44:06
7004,2762578,2016-04-12 18:48:07
7004,8972752,2016-04-12 18:48:07
7004,6026979,2016-04-12 18:48:07
7005,2915472,2016-04-12 18:57:10
7005,0474178,2016-04-12 18:56:35
7006,4375088,2016-04-12 18:57:08
7006,6077929,2016-04-12 18:57:07
7006,5308411,2016-04-12 18:57:08
7006,2355928,2016-04-12 18:57:07
7006,4135242,2016-04-12 18:57:07
7006,4941972,2016-04-12 18:57:07
7007,2629038,2016-04-13 09:45:36
7007,9479982,2016-04-13 09:45:36
7007,2915472,2016-04-13 09:45:36
7007,5603158,2016-04-13 09:45:36
7007,1411057,2016-04-13 09:45:36
7007,0474178,2016-04-12 18:57:53
7007,0674344,2016-04-13 09:45:36
7007,2166921,2016-04-13 09:45:36
7008,2762578,2016-04-12 18:58:17
7008,8972752,2016-04-12 18:58:17
7008,6026979,2016-04-12 18:58:17
8001,2915472,2016-04-13 08:29:15
8001,0474178,2016-04-13 08:28:47
8002,4375088,2016-04-13 08:29:12
8002,6077929,2016-04-13 08:29:12
8002,5308411,2016-04-13 08:29:12
8002,2355928,2016-04-13 08:29:12
8002,4135242,2016-04-13 08:29:12
8002,4941972,2016-04-13 08:29:12
8003,2629038,2016-04-19 10:42:44
8003,9479982,2016-04-19 10:42:44
8003,2915472,2016-04-19 10:42:44
8003,5603158,2016-04-19 10:42:44
8003,1411057,2016-04-19 10:42:44
8003,0474178,2016-04-13 09:11:59
8003,0674344,2016-04-19 10:42:44
8003,2166921,2016-04-19 10:42:44
8004,1225828,2016-04-13 09:30:09
8004,9479982,2016-04-13 09:30:08
8004,2915472,2016-04-13 09:30:08
8004,1411057,2016-04-13 09:30:09
8004,0474178,2016-04-13 09:14:54
8005,4169704,2016-04-20 09:21:18
8005,2915472,2016-04-13 09:21:16
8005,0474178,2016-04-13 09:21:16
8006,2629038,2016-04-13 10:17:47
8006,9479982,2016-04-13 10:17:47
8006,2915472,2016-04-13 10:17:47
8006,5603158,2016-04-13 10:17:47
8006,1411057,2016-04-13 10:17:48
8006,0474178,2016-04-13 09:23:46
8006,0674344,2016-04-13 10:17:48
8006,2166921,2016-04-13 10:17:48
8007,2762578,2016-04-13 09:24:25
8007,8972752,2016-04-13 09:24:26
8007,6026979,2016-04-13 09:24:25
8008,2629038,2016-04-13 09:31:29
8008,9479982,2016-04-13 09:31:29
8008,2915472,2016-04-13 09:31:29
8008,5603158,2016-04-13 09:31:29
8008,1411057,2016-04-13 09:31:30
8008,0474178,2016-04-13 09:24:42
8008,0674344,2016-04-13 09:31:30
8008,2166921,2016-04-13 09:31:30
8009,1225828,2016-04-13 10:20:29
8009,9479982,2016-04-13 10:20:29
8009,2915472,2016-04-13 10:20:29
8009,1411057,2016-04-13 10:20:29
8009,0474178,2016-04-13 09:25:32
8010,1225828,2016-04-13 10:31:58
8010,9479982,2016-04-13 10:31:58
8010,2915472,2016-04-13 10:31:58
8010,1411057,2016-04-13 10:31:58
8010,0474178,2016-04-13 09:26:55
8011,2629038,2016-04-13 09:42:07
8011,9479982,2016-04-13 09:42:06
8011,2915472,2016-04-13 09:42:06
8011,5603158,2016-04-13 09:42:07
8011,1411057,2016-04-13 09:42:07
8011,0474178,2016-04-13 09:34:17
8011,0674344,2016-04-13 09:42:07
8011,2166921,2016-04-13 09:42:07
8012,2762578,2016-04-13 09:35:29
8012,8972752,2016-04-13 09:35:29
8012,6026979,2016-04-13 09:35:29
8013,2762578,2016-04-13 09:36:11
8013,8972752,2016-04-13 09:36:11
8013,6026979,2016-04-13 09:36:11
8014,4549620,2016-04-13 09:37:28
8014,4375088,2016-04-13 09:42:51
8014,6077929,2016-04-13 09:42:51
8014,2056150,2016-04-13 09:42:51
8014,5308411,2016-04-13 09:42:51
8014,6635089,2016-04-13 09:42:50
8014,2355928,2016-04-13 09:42:51
8014,4135242,2016-04-13 09:37:28
8014,4941972,2016-04-13 09:42:51
8014,8683813,2016-04-13 09:42:50
8015,2915472,2016-04-13 09:40:15
8015,0474178,2016-04-13 09:40:02
8016,4375088,2016-04-13 09:40:13
8016,6077929,2016-04-13 09:40:13
8016,5308411,2016-04-13 09:40:13
8016,2355928,2016-04-13 09:40:13
8016,4135242,2016-04-13 09:40:13
8016,4941972,2016-04-13 09:40:13
8017,1225828,2016-04-13 09:43:51
8017,9479982,2016-04-13 09:43:51
8017,2915472,2016-04-13 09:43:51
8017,1411057,2016-04-13 09:43:51
8017,0474178,2016-04-13 09:42:51
8018,4549620,2016-04-13 09:44:17
8018,4375088,2016-04-13 09:45:59
8018,6077929,2016-04-13 09:45:59
8018,2056150,2016-04-13 09:45:59
8018,5308411,2016-04-13 09:45:59
8018,6635089,2016-04-13 09:45:58
8018,2355928,2016-04-13 09:45:59
8018,4135242,2016-04-13 09:44:16
8018,4941972,2016-04-13 09:45:59
8018,8683813,2016-04-13 09:45:58
8019,1225828,2016-05-31 15:34:02
8019,9479982,2016-05-31 15:34:02
8019,4169704,2016-04-20 09:45:31
8019,2915472,2016-05-31 15:34:02
8019,1411057,2016-05-31 15:34:02
8019,0474178,2016-04-13 09:45:30
8021,1225828,2016-04-15 17:25:53
8021,9479982,2016-04-15 17:25:52
8021,2915472,2016-04-15 17:25:52
8021,1411057,2016-04-15 17:25:53
8021,0474178,2016-04-13 10:20:22
8022,4549620,2016-04-13 10:20:47
8022,4375088,2016-04-13 10:21:20
8022,6077929,2016-04-13 10:21:20
8022,2056150,2016-04-13 10:21:20
8022,5308411,2016-04-13 10:21:20
8022,6635089,2016-04-13 10:21:20
8022,2355928,2016-04-13 10:21:20
8022,4135242,2016-04-13 10:20:47
8022,4941972,2016-04-13 10:21:20
8022,8683813,2016-04-13 10:21:20
8023,1225828,2016-05-31 15:33:47
8023,9479982,2016-05-31 15:33:46
8023,4169704,2016-04-20 10:23:42
8023,2915472,2016-05-31 15:33:46
8023,1411057,2016-05-31 15:33:47
8023,0474178,2016-04-13 10:23:42
8024,2629038,2016-04-13 10:41:38
8024,9479982,2016-04-13 10:41:38
8024,2915472,2016-04-13 10:41:38
8024,5603158,2016-04-13 10:41:38
8024,1411057,2016-04-13 10:41:39
8024,0474178,2016-04-13 10:39:16
8024,0674344,2016-04-13 10:41:38
8024,2166921,2016-04-13 10:41:38
8026,1225828,2016-04-17 19:33:04
8026,9479982,2016-04-17 19:33:04
8026,2915472,2016-04-17 19:33:03
8026,1411057,2016-04-17 19:33:04
8026,0474178,2016-04-13 10:54:08
8027,2629038,2016-04-13 12:38:35
8027,9479982,2016-04-13 12:38:35
8027,2915472,2016-04-13 12:38:34
8027,5603158,2016-04-13 12:38:35
8027,1411057,2016-04-13 12:38:36
